Sponsor,Composite Ticker,Composite Name,Constituent Ticker,Constituent Name,Weighting,Identifier,Date,Location,Exchange,Total Shares Held,Notional Value,Market Value,Sponsor Sector,Last Trade,Currency,BloombergSymbol,BloombergExchange,BloombergSector,BloombergIndustryGroup,Coupon,Maturity,Rating,Type,SharesOutstanding,MarketCap,Earnings,PE Ratio,Face,eSignalTicker,TimeZone,DividendAmt,LastDividendDate,DividendYield,FutVal,Sector,IndustryGroup,Industry,SubIndustry,CUSIP,ISIN,SEDOL
First Trust,BICK,First Trust BICK Index Fund ETF,'055550.KS,Shinhan Financial Group Co Ltd,0.0104,'055550KS,3/14/13,Korea,Korea SE,,,,Financials,40200,KRW,055550:KS,Korea SE,Financial,Diversified Finan Serv,,,,Global Equity ETF,474.2,20224612,5954,7.1633,,055550-KOR,9,700,12/27/12,1.64,,,,,,,,'6397502
First Trust,BICK,First Trust BICK Index Fund ETF,'3323.HK,China National Building Material Co Ltd,0.0104,'3323HK,3/14/13,China,Hong Kong,,,,Materials,10.2,HKD,3323:HK,Hong Kong,Industrial,Bldg&Construct Prod-Misc,,,,Global Equity ETF,2879.17,65544.18,1.1687,8.3361,,3323-HKG,8,0.1935,5/25/12,2.17,,,,,,,'CNE1000002N9,'B0Y91C1
First Trust,BICK,First Trust BICK Index Fund ETF,'000830.KS,Samsung C&T Corp,0.0103,'000830KS,3/14/13,Korea,Korea SE,,,,Industrials,64600,KRW,000830:KS,Korea SE,Consumer Cyclical,Distribution/Wholesale,,,,Global Equity ETF,156.22,10341616,3049,21.712,,000830-KOR,9,500,12/27/12,0.76,,,,,,,,'6771601
First Trust,BICK,First Trust BICK Index Fund ETF,'1288.HK,Agricultural Bank of China Ltd,0.0103,'1288HK,3/14/13,China,Hong Kong,,,,Financials,3.72,HKD,1288:HK,Hong Kong,Financial,Commer Banks Non-US,,,,Global Equity ETF,30738.82,1202981.88,0.4341,7.3399,,1288-HKG,8,0.1184,6/12/12,4.06,,,,,,,'CNE100000Q43,'B60LZR6
First Trust,BICK,First Trust BICK Index Fund ETF,'CIG,Cia Energetica de Minas Gerais,0.0102,'CIG,3/14/13,United States,New York,,,,Utilities,13.04,USD,CIG:US,New York,Utilities,Electric-Integrated,,,,Global Equity ETF,480.18,9968.17,0,0,,CIG,-5,0.4076,12/27/12,6.12,,,,,,'204409601,'US2044096012,'2178938
First Trust,BICK,First Trust BICK Index Fund ETF,'2318.HK,Ping An Insurance Group Co of China Ltd,0.0101,'2318HK,3/14/13,China,Hong Kong,,,,Financials,60.45,HKD,2318:HK,Hong Kong,Financial,Multi-line Insurance,,,,Global Equity ETF,3129.73,475147.72,2.61,19.7551,,2318-HKG,8,0.135,9/21/12,0.76,,,,,,,'CNE1000003X6,'B01FLR7
First Trust,BICK,First Trust BICK Index Fund ETF,'386.HK,China Petroleum & Chemical Corp,0.01,'386HK,3/14/13,China,Hong Kong,,,,Energy,8.62,HKD,386:HK,Hong Kong,Energy,Oil Comp-Integrated,,,,Global Equity ETF,19625.72,806290.06,0.6517,11.1078,,0386-HKG,8,0.09,9/6/12,4.08,,,,,,,'CNE1000002Q2,'6291819
First Trust,BICK,First Trust BICK Index Fund ETF,'939.HK,China Construction Bank Corp,0.01,'939HK,3/14/13,China,Hong Kong,,,,Financials,6.13,HKD,939:HK,Hong Kong,Financial,Commer Banks Non-US,,,,Global Equity ETF,240417.3,1580432.75,0.7643,6.6573,,0939-HKG,8,0.2129,6/14/12,4.54,,,,,,,'CNE1000002H1,'B0LMTQ3
First Trust,BICK,First Trust BICK Index Fund ETF,'3968.HK,China Merchants Bank Co Ltd,0.01,'3968HK,3/14/13,China,Hong Kong,,,,Financials,16.42,HKD,3968:HK,Hong Kong,Financial,Commer Banks Non-US,,,,Global Equity ETF,3910.48,352556.41,1.89,7.0399,,3968-HKG,8,0.378,6/1/12,3.09,,,,,,,'CNE1000002M1,'B1DYPZ5
First Trust,BICK,First Trust BICK Index Fund ETF,'105560.KS,KB Financial Group Inc,0.01,'105560KS,3/14/13,Korea,Korea SE,,,,Financials,37700,KRW,105560:KS,Korea SE,Financial,Diversified Finan Serv,,,,Global Equity ETF,386.35,15260892,4593,8.6,,105560-KOR,9,600,12/27/12,1.52,,,,,,,,'B3DF0Y6
First Trust,BICK,First Trust BICK Index Fund ETF,'3328.HK,Bank of Communications Co Ltd,0.01,'3328HK,3/14/13,China,Hong Kong,,,,Financials,5.8,HKD,3328:HK,Hong Kong,Financial,Commer Banks Non-US,,,,Global Equity ETF,35011.86,455046.63,0.893,5.4279,,3328-HKG,8,,9/10/12,2.03,,,,,,,'CNE100000205,'B0B8Z29
First Trust,BICK,First Trust BICK Index Fund ETF,'003550.KS,LG Corp,0.0099,'003550KS,3/14/13,Korea,Korea SE,,,,Industrials,65900,KRW,003550:KS,Korea SE,Consumer Cyclical,Appliances,,,,Global Equity ETF,172.56,11371515,5910,11.1506,,003550-KOR,9,1,12/27/12,1.52,,,,,,,,'6537030
